,Word,Relative_Frequency,User_Created,Times_Selected,Frequency
179,company,0.008574749,,0,"9,314,939"
180,state,0.008481563000000001,,0,"9,213,709"
181,number,0.008469585,,0,"9,200,697"
182,again,0.008429671,,0,"9,157,338"
183,free,0.008413316,,0,"9,139,571"
184,lot,0.00838647,,0,"9,110,408"
185,under,0.008284082,,0,"8,999,181"
186,family,0.008232125,,0,"8,942,739"
187,found,0.008166999,,0,"8,871,991"
188,within,0.008120089,,0,"8,821,032"
189,give,0.008116348,,0,"8,816,968"
190,set,0.008115045999999999,,0,"8,815,554"
191,school,0.008060074,,0,"8,755,836"
192,important,0.008048951,,0,"8,743,753"
193,water,0.007994938,,0,"8,685,078"
194,able,0.007981420999999999,,0,"8,670,394"
195,keep,0.007960998,,0,"8,648,208"
196,got,0.007955472,,0,"8,642,205"
197,sure,0.007872846999999999,,0,"8,552,448"
198,end,0.00787162,,0,"8,551,115"
199,money,0.00785666,,0,"8,534,863"
200,service,0.007844456,,0,"8,521,606"
201,small,0.007842917,,0,"8,519,934"
202,put,0.007712951,,0,"8,378,749"
203,experience,0.007699846999999998,,0,"8,364,514"
204,having,0.0076228430000000015,,0,"8,280,863"
205,once,0.0075816730000000014,,0,"8,236,139"
206,available,0.007567244,,0,"8,220,464"
207,health,0.0075112819999999985,,0,"8,159,671"
208,support,0.007485655,,0,"8,131,832"
209,often,0.007464411,,0,"8,108,755"
210,including,0.007440113000000002,,0,"8,082,359"
211,days,0.007319898000000002,,0,"7,951,767"
212,away,0.007230286,,0,"7,854,419"
213,old,0.0071994009999999985,,0,"7,820,868"
214,area,0.00718037,,0,"7,800,194"
215,feel,0.00715783,,0,"7,775,709"
216,read,0.007130101999999998,,0,"7,745,587"
217,show,0.0070977459999999985,,0,"7,710,438"
218,big,0.007034561,,0,"7,641,799"
219,against,0.007028988000000001,,0,"7,635,745"
220,thing,0.007027604000000001,,0,"7,634,241"
221,order,0.007023461,,0,"7,629,741"
222,program,0.00700629,,0,"7,611,088"
223,though,0.007002594,,0,"7,607,072"
224,city,0.006959107,,0,"7,559,832"
225,group,0.006951108,,0,"7,551,142"
226,services,0.00693814,,0,"7,537,055"
227,site,0.006935996,,0,"7,534,726"
228,making,0.006904571,,0,"7,500,588"
229,course,0.00688794,,0,"7,482,521"
230,point,0.006864569,,0,"7,457,133"
231,children,0.00684023,,0,"7,430,693"
232,times,0.006811031,,0,"7,398,973"
233,team,0.00680314,,0,"7,390,401"
234,game,0.006794955,,0,"7,381,510"
235,along,0.00677971,,0,"7,364,949"
236,let,0.006704086999999999,,0,"7,282,798"
237,house,0.006697971,,0,"7,276,154"
238,today,0.006689011,,0,"7,266,420"
239,body,0.006670936,,0,"7,246,785"
240,working,0.006647073000000001,,0,"7,220,862"
241,case,0.006642805999999999,,0,"7,216,227"
242,man,0.006635832,,0,"7,208,651"
243,real,0.006628364,,0,"7,200,538"
244,provide,0.006624555,,0,"7,196,400"
245,care,0.006589148,,0,"7,157,937"
246,public,0.006580371,,0,"7,148,402"
247,top,0.006571428000000001,,0,"7,138,687"
248,looking,0.006551938,,0,"7,117,515"
249,several,0.006538382,,0,"7,102,789"
250,start,0.006535155999999999,,0,"7,099,284"
251,less,0.006501283,,0,"7,062,487"
252,process,0.006455805,,0,"7,013,084"
253,become,0.0064492230000000005,,0,"7,005,933"
254,actually,0.006446769000000001,,0,"7,003,268"
255,local,0.006431445,,0,"6,986,621"
256,together,0.006389012,,0,"6,940,525"
257,person,0.006375796,,0,"6,926,168"
258,change,0.006365619,,0,"6,915,113"
259,book,0.006346131,,0,"6,893,942"
260,enough,0.006330626999999999,,0,"6,877,100"
261,getting,0.006305745,,0,"6,850,070"
262,week,0.006294445,,0,"6,837,795"
263,power,0.006283127,,0,"6,825,500"
264,until,0.006279216999999999,,0,"6,821,252"
265,market,0.006278656999999999,,0,"6,820,644"
266,fact,0.006253933000000001,,0,"6,793,786"
267,god,0.006187565999999999,,0,"6,721,690"
268,food,0.006164898,,0,"6,697,065"
269,students,0.006161501,,0,"6,693,375"
270,full,0.006154503,,0,"6,685,773"
271,women,0.00612685,,0,"6,655,732"
272,community,0.006120878000000001,,0,"6,649,245"
273,name,0.006108613000000001,,0,"6,635,921"
274,second,0.00610273,,0,"6,629,530"
275,data,0.005978432,,0,"6,494,503"
276,government,0.0059777730000000005,,0,"6,493,787"
277,says,0.005941346,,0,"6,454,215"
278,others,0.005934049,,0,"6,446,289"
279,ever,0.005916871999999999,,0,"6,427,629"
280,yet,0.005885271,,0,"6,393,300"
281,research,0.005876458,,0,"6,383,726"
282,done,0.005838543000000001,,0,"6,342,538"
283,left,0.005834386,,0,"6,338,022"
284,far,0.005766974,,0,"6,264,791"
285,large,0.005755555999999999,,0,"6,252,388"
286,called,0.005735066,,0,"6,230,129"
287,doing,0.005722237,,0,"6,216,192"
288,already,0.005715668,,0,"6,209,056"
289,development,0.005709765,,0,"6,202,644"
290,social,0.005663583000000001,,0,"6,152,475"
291,open,0.005658645,,0,"6,147,111"
292,possible,0.005594526,,0,"6,077,457"
293,side,0.005582261999999999,,0,"6,064,135"
294,play,0.005526169,,0,"6,003,199"
295,means,0.005508229,,0,"5,983,711"
296,needs,0.005494563,,0,"5,968,865"
297,try,0.005473029,,0,"5,945,472"
298,came,0.00547094,,0,"5,943,203"
299,ca,0.005460588000000001,,0,"5,931,957"
300,based,0.005415248,,0,"5,882,703"
301,hard,0.005406588,,0,"5,873,296"
302,thought,0.005390601,,0,"5,855,929"
303,products,0.005382203,,0,"5,846,806"
304,national,0.005361168,,0,"5,823,955"
305,quality,0.005335072,,0,"5,795,607"
306,level,0.005327564,,0,"5,787,450"
307,live,0.005307148,,0,"5,765,272"
308,design,0.005287279000000001,,0,"5,743,688"
309,makes,0.005275891,,0,"5,731,317"
310,project,0.005252999,,0,"5,706,449"
311,line,0.005209809,,0,"5,659,531"
312,night,0.005198831,,0,"5,647,605"
313,least,0.005193715,,0,"5,642,047"
314,whether,0.005175288,,0,"5,622,030"
315,job,0.005161912,,0,"5,607,499"
316,car,0.005160728,,0,"5,606,213"
317,example,0.005160722,,0,"5,606,206"
318,include,0.005135125999999999,,0,"5,578,401"
319,following,0.005121257,,0,"5,563,335"
320,given,0.00512083,,0,"5,562,871"
321,website,0.005084624,,0,"5,523,539"
322,past,0.005082648,,0,"5,521,393"
323,plan,0.005077115,,0,"5,515,382"
324,offer,0.0050761,,0,"5,514,280"
325,buy,0.005069136,,0,"5,506,714"
326,call,0.005067112,,0,"5,504,516"
327,went,0.005044605,,0,"5,480,066"
328,simply,0.005021262,,0,"5,454,708"
329,hand,0.005016859,,0,"5,449,925"
330,music,0.00501013,,0,"5,442,615"
331,easy,0.004988765,,0,"5,419,406"
332,problem,0.004974051,,0,"5,403,421"
333,men,0.004966138,,0,"5,394,825"
334,country,0.004958446,,0,"5,386,469"
335,took,0.004950396,,0,"5,377,725"
336,four,0.004950385,,0,"5,377,713"
337,members,0.0049416370000000005,,0,"5,368,209"
338,form,0.004928591,,0,"5,354,037"
339,personal,0.004924748,,0,"5,349,863"
340,control,0.004909741,,0,"5,333,560"
341,energy,0.004898759,,0,"5,321,630"
342,room,0.00488826,,0,"5,310,225"
343,head,0.004865312,,0,"5,285,296"
344,pay,0.0048336,,0,"5,250,846"
345,create,0.004815438,,0,"5,231,117"
346,run,0.004814958,,0,"5,230,595"
347,kind,0.004810281,,0,"5,225,514"
348,credit,0.004808344,,0,"5,223,410"
349,almost,0.004793622,,0,"5,207,417"
350,believe,0.004756818,,0,"5,167,436"
351,quite,0.004754114,,0,"5,164,499"
352,mind,0.004742009,,0,"5,151,349"
353,law,0.004738478,,0,"5,147,513"
354,early,0.004736003,,0,"5,144,825"
355,comes,0.004729745,,0,"5,138,026"
356,states,0.004728896,,0,"5,137,104"
357,usually,0.0047242740000000005,,0,"5,132,083"
358,companies,0.004719355,,0,"5,126,740"
359,web,0.004707549,,0,"5,113,914"
360,taking,0.004692202,,0,"5,097,243"
361,started,0.0046904170000000005,,0,"5,095,304"
362,later,0.004688360999999999,,0,"5,093,070"
363,although,0.004681048,,0,"5,085,126"
364,story,0.004679345,,0,"5,083,276"
365,per,0.004673768,,0,"5,077,217"
366,future,0.004671653,,0,"5,074,920"
367,known,0.004663393,,0,"5,065,947"
368,someone,0.004658974000000001,,0,"5,061,146"
369,across,0.004623375,,0,"5,022,474"
370,rather,0.00462187,,0,"5,020,839"
371,young,0.004607165,,0,"5,004,865"
372,whole,0.004604624,,0,"5,002,105"
373,special,0.004596942,,0,"4,993,760"
374,everything,0.004588924,,0,"4,985,049"
375,months,0.004577562,,0,"4,972,707"
376,anything,0.004571059000000001,,0,"4,965,642"
377,training,0.004567693,,0,"4,961,986"
378,url,0.004563171,,0,"4,957,073"
379,bit,0.004547771,,0,"4,940,344"
380,seen,0.004543768,,0,"4,935,996"
381,product,0.004537823,,0,"4,929,537"
382,american,0.004528007,,0,"4,918,874"
383,please,0.004517805,,0,"4,907,791"
384,management,0.004516753,,0,"4,906,649"
385,cost,0.004512478,,0,"4,902,004"
386,either,0.004501842,,0,"4,890,450"
387,light,0.004499026,,0,"4,887,391"
388,university,0.004459612,,0,"4,844,575"
389,face,0.00445193,,0,"4,836,230"
390,due,0.004450411,,0,"4,834,580"
391,nothing,0.0044392170000000005,,0,"4,822,420"
392,human,0.004435845999999999,,0,"4,818,757"
393,event,0.004417275,,0,"4,798,583"
394,history,0.0044103020000000005,,0,"4,791,009"
395,probably,0.004401512,,0,"4,781,460"
396,friends,0.0043813770000000005,,0,"4,759,587"
397,learn,0.00437454,,0,"4,752,159"
398,current,0.004370843,,0,"4,748,143"
399,tell,0.004368893,,0,"4,746,025"
400,general,0.004367256,,0,"4,744,247"
401,price,0.004366457,,0,"4,743,379"
402,list,0.004358456,,0,"4,734,687"
403,type,0.004340035,,0,"4,714,676"
404,building,0.0043381570000000005,,0,"4,712,636"
405,industry,0.004322566,,0,"4,695,699"
406,bad,0.004311842,,0,"4,684,049"
407,check,0.004300621,,0,"4,671,860"
408,everyone,0.004277365,,0,"4,646,596"
409,office,0.004276917,,0,"4,646,109"
410,idea,0.004268863,,0,"4,637,360"
411,internet,0.004267543,,0,"4,635,926"
412,news,0.004262265,,0,"4,630,193"
413,million,0.004255836,,0,"4,623,209"
414,video,0.004252407,,0,"4,619,484"
415,among,0.004245281,,0,"4,611,742"
416,air,0.004238642,,0,"4,604,530"
417,especially,0.0042325620000000005,,0,"4,597,926"
418,told,0.004229136,,0,"4,594,204"
419,results,0.004203913,,0,"4,566,804"
420,post,0.004197475,,0,"4,559,810"
421,hours,0.004190101,,0,"4,551,799"
422,international,0.004177068,,0,"4,537,641"
423,center,0.004176213,,0,"4,536,712"
424,understand,0.00417008,,0,"4,530,050"
425,above,0.004165329000000001,,0,"4,524,889"
426,addition,0.004152347,,0,"4,510,786"
427,major,0.004151564,,0,"4,509,936"
428,education,0.004137966,,0,"4,495,164"
429,white,0.004135756,,0,"4,492,763"
430,particular,0.004132718,,0,"4,489,463"
431,problems,0.004124038,,0,"4,480,034"
432,media,0.004110275,,0,"4,465,083"
433,according,0.004105156,,0,"4,459,522"
434,upon,0.004098871,,0,"4,452,694"
435,page,0.004095148,,0,"4,448,650"
436,continue,0.004086468,,0,"4,439,220"
437,black,0.004084621,,0,"4,437,214"
438,study,0.004081577,,0,"4,433,907"
439,issues,0.004081484,,0,"4,433,806"
440,inside,0.004080142,,0,"4,432,348"
441,technology,0.004066287,,0,"4,417,297"
442,five,0.004065837,,0,"4,416,809"
443,value,0.004060537,,0,"4,411,051"
444,further,0.004041748,,0,"4,390,640"
445,access,0.004040187,,0,"4,388,944"
446,reason,0.0040372920000000005,,0,"4,385,799"
447,short,0.004028329000000001,,0,"4,376,063"
448,TRUE,0.004022876,,0,"4,370,139"
449,simple,0.004020441,,0,"4,367,494"
450,natural,0.004003868,,0,"4,349,490"
451,amount,0.003966222,,0,"4,308,595"
452,search,0.00393928,,0,"4,279,327"
453,result,0.003929344,,0,"4,268,533"
454,taken,0.0039283370000000005,,0,"4,267,439"
455,main,0.00391997,,0,"4,258,350"
456,heart,0.003901337,,0,"4,238,109"
457,space,0.003886602,,0,"4,222,102"
458,financial,0.003884556,,0,"4,219,879"
459,ago,0.003874603,,0,"4,209,067"
460,trying,0.003874553,,0,"4,209,012"
461,question,0.003868689,,0,"4,202,642"
462,living,0.003867182,,0,"4,201,005"
463,likely,0.003866967,,0,"4,200,772"
464,interest,0.003863154,,0,"4,196,629"
465,various,0.003851916,,0,"4,184,421"
466,insurance,0.003841268,,0,"4,172,854"
467,common,0.00382752,,0,"4,157,919"
468,move,0.003822400000000001,,0,"4,152,358"
469,child,0.003819055,,0,"4,148,724"
470,yourself,0.003804976,,0,"4,133,429"
471,report,0.003800174,,0,"4,128,213"
472,certain,0.003793335,,0,"4,120,784"
473,share,0.003787707,,0,"4,114,670"
474,single,0.003779952,,0,"4,106,245"
475,close,0.003776591,,0,"4,102,594"
476,instead,0.003774011,,0,"4,099,791"
477,bring,0.003773246,,0,"4,098,961"
478,works,0.003771924,,0,"4,097,524"
479,age,0.00374823,,0,"4,071,785"
480,s,0.003737589,,0,"4,060,226"
481,season,0.003736344,,0,"4,058,873"
482,hope,0.003732157,,0,"4,054,325"
483,coming,0.003728084,,0,"4,049,900"
484,areas,0.003714245,,0,"4,034,866"
485,ask,0.003712147,,0,"4,032,587"
486,medical,0.003705562,,0,"4,025,434"
487,low,0.003700976,,0,"4,020,452"
488,games,0.003697705,,0,"4,016,899"
489,turn,0.003688265,,0,"4,006,644"
490,key,0.003685084,,0,"4,003,188"
491,party,0.003670358,,0,"3,987,191"
492,add,0.003659625,,0,"3,975,531"
493,month,0.003658626,,0,"3,974,446"
494,seems,0.00365547,,0,"3,971,018"
495,view,0.003648194,,0,"3,963,114"
496,fun,0.003644902,,0,"3,959,538"
497,matter,0.003634039,,0,"3,947,737"
498,words,0.003627054,,0,"3,940,149"
499,needed,0.003624693,,0,"3,937,584"
500,dot,,True,1,
501,-1,,True,1,
502,yiwen,,True,1,
